"The column titles for this worksheet are in row 7. They span cells A7 through I7 inclusive. The following cells have sort options: A7 through I7 inclusive. The data spans cells A8 through I14681.  If you are not using a screen reader, you can press Alt + R, T for the Review Ribbon, Edit Comment to move to and open a Comment once you are on a cell with a Comment. When you are finished reading the Comment, press Escape to close the comment and return to the worksheet. If you are using the JAWS screen reader, press Ctrl + Shift + Apostrophe to get a list of Comments and their cell coordinates in the worksheet. Press Enter on the Comment you want to go to or Escape once you’ve read the Comment for a cell. You are returned to the workbook. Note that there is no keyboard command with JAWS to reread Comments or read Comments once you are on them in a cell. You must use the ability to list Comments in order to read them if you are using the JAWS screen reader.",,,,,,,,,
,,,,,,,,,
CI-0026698,Bell Canada,Wireless services,Service Delivery,Service Not Working,Intermittent Service,Consumer,North York ,Ontario,
CI-0060784,Shaw,TV,Billing,Reoccurring charges,Incorrect Charge,Consumer,Burnaby,British Columbia,
CI-0080071,VMedia,Internet Access Services,Contract Dispute,Compliance with Terms of Service/Contract,Changes to the contract,Consumer,Vancouver,British Columbia,
CI-0016821,Bell Canada,Wireless services,Service Delivery,Service Not Working,Intermittent Service,Consumer,Verdum,Quebec,
CI-0020912,Shaw,TV,Billing,Reoccurring charges,Regular price increase of monthly price plans,Consumer,Winnipeg,Manitoba,
CI-0020912,Shaw,TV,Contract Dispute,Disclosure Issues,No Consent/Contract conflicts with agreement,Consumer,Winnipeg,Manitoba,
CI-0019248,Rogers Communications,Internet Access Services,Billing,Reoccurring charges,Credit/refund not received,Consumer,Toronto,Ontario,
CI-0033367,Fido,Wireless services,Billing,Reoccurring charges,Incorrect Charge,Consumer,Toronto,Ontario,
CI-0077336,Rogers Communications,Wireless services,Billing,Reoccurring charges,Incorrect Charge,Consumer,north york,Ontario,
CI-0097515,Rogers Communications,Wireless services,Billing,Reoccurring charges,Regular price increase of monthly price plans,Consumer,LaSalle,Quebec,
CI-0081382,Shaw,TV,Contract Dispute,Disclosure Issues,No Consent/Contract conflicts with agreement,Consumer,White Rock ,British Columbia,
CI-0048809,Rogers Communications,Wireless services,Billing,Reoccurring charges,Incorrect Charge,Consumer,Surrey,British Columbia,
CI-0032517,Fido,Wireless services,Billing,Reoccurring charges,Credit/refund not received,Consumer,Toronto ,Ontario,
CI-0010318-PT,TELUS Communications Inc.,Wireless services,Credit Management,3rd party credit reporting,,Consumer,Demorestville,Prince Edward Island,
CI-0073323,Fizz,Wireless services,Service Delivery,Service Not Working,Repair Issues and Appointments,Consumer,Gatineau,Quebec,
CI-0045894,Chatr,Wireless services,Billing,Reoccurring charges,Incorrect Charge,Consumer,Toronto,Ontario,
CI-0081076,Rogers Communications,Wireless services,Contract Dispute,Disclosure Issues,No Consent/Contract conflicts with agreement,Consumer,Surrey,British Columbia,
CI-0008402,Rogers Communications,Wireless services,Contract Dispute,Disclosure Issues,No Consent/Contract conflicts with agreement,Consumer,Langford,British Columbia,
CI-0035646,Bell Canada,Internet Access Services,Contract Dispute,Disclosure Issues,No Consent/Contract conflicts with agreement,Consumer,St. Catharines,Ontario,
CI-0009208,Rogers Communications,Wireless services,Contract Dispute,Disclosure Issues,No Consent/Contract conflicts with agreement,Consumer,Deux-Montagnes,Quebec,
CI-0009003,TELUS Communications Inc.,Wireless services,Contract Dispute,Compliance with Terms of Service/Contract,Breach of contract,Consumer,Surrey,British Columbia,
CI-0098313,Rogers Communications,Wireless services,Billing,Reoccurring charges,Credit/refund not received,Consumer,Clifton Royal ,New Brunswick,
CI-0028322,Rogers Communications,Internet Access Services,Billing,Reoccurring charges,Credit/refund not received,Consumer,Torbay,Newfoundland and Labrador,
CI-0082661,Primus,Local exchange and VoIP services (including calling features),Contract Dispute,Compliance with Terms of Service/Contract,Changes to the contract,Consumer,Windsor,Ontario,
CI-0022869,Rogers Communications,Wireless services,Billing,Reoccurring charges,Credit/refund not received,Consumer,Kitchener ,Ontario,
CI-0058005,Comwave,Internet Access Services,Billing,Reoccurring charges,Regular price increase of monthly price plans,Consumer,Newmarket,Ontario,
CI-0025826-PT,Bell Canada,Wireless services,Service Delivery,Service Not Working,Intermittent Service,Small Business,Toronto,Ontario,
CI-0035733,Rogers Communications,Wireless services,Billing,Reoccurring charges,Incorrect Charge,Consumer,Victoria ,British Columbia,
CI-0078779,Shaw,Internet Access Services,Contract Dispute,Disclosure Issues,No Consent/Contract conflicts with agreement,Consumer,Aldergrove,British Columbia,
CI-0085632,Altima Telecom,Internet Access Services,Service Delivery,Service not working,Repair issues and appointments,Consumer,Drummondville,Quebec,
CI-0082702-PT,Bell Canada,Wireless services,Billing,Reoccurring charges,Credit/refund not received,Consumer,Deux-Montagnes,Quebec,
CI-0005395,TELUS Communications Inc.,Wireless services,Contract Dispute,Compliance with Terms of Service/Contract,Breach of contract,Consumer,Gatineau,Quebec,
CI-0005395,TELUS Communications Inc.,Wireless services,Credit Management,3rd party credit reporting,,Consumer,Gatineau,Quebec,
CI-0034118,Rogers Communications,TV,Billing,Reoccurring charges,Credit/refund not received,Consumer,North Gower,Ontario,
CI-0034118,Rogers Communications,Internet Access Services,Billing,Reoccurring charges,Credit/refund not received,Consumer,North Gower,Ontario,
CI-0015753,Bell Canada,Internet Access Services,Billing,Reoccurring charges,Regular price increase of monthly price plans,Consumer,North York,Ontario,
CI-0012979,Public Mobile,Wireless services,Contract Dispute,Compliance with Terms of Service/Contract,Changes to the contract,Consumer,CALGARY,Alberta,
CI-0026068,Rogers Communications,Wireless services,Contract Dispute,Disclosure Issues,No Consent/Contract conflicts with agreement,Consumer,Mississauga ,Ontario,
CI-0068186,Rogers Communications,Internet Access Services,Billing,Reoccurring charges,Regular price increase of monthly price plans,Consumer,Mississauga,Ontario,
CI-0059336,Public Mobile,Wireless services,Billing,Reoccurring charges,Incorrect Charge,Consumer,Vancouver,British Columbia,
CI-0090113,Fido,Internet Access Services,Contract Dispute,Compliance with Terms of Service/Contract,Changes to the contract,Consumer,Ottawa,Ontario,
CI-0015696,Fizz,Wireless services,Service Delivery,Service Not Working,Intermittent Service,Consumer,st therese,Quebec,
CI-0014813,Fido,Internet Access Services,Contract Dispute,Disclosure Issues,No Consent/Contract conflicts with agreement,Consumer,Ottawa,Ontario,
CI-0062957,Bell Canada,Internet Access Services,Service Delivery,Service not working,Complete loss of service,Consumer,Toronto,Ontario,
CI-0081376,Rogers Communications,TV,Billing,Reoccurring charges,Credit/refund not received,Consumer,Ottawa,Ontario,
CI-0094481,Freedom Mobile Inc.,Wireless services,Contract Dispute,Compliance with Terms of Service/Contract,Breach of contract,Consumer,St Catharines,Ontario,
CI-0075070,Bell Canada,Internet Access Services,Billing,Reoccurring charges,Regular price increase of monthly price plans,Consumer,Richmond Hill,Ontario,
CI-0031818,Bell Canada,Wireless services,Billing,Reoccurring charges,Credit/refund not received,Consumer,cobourg,Ontario,
CI-0034499,Rogers Communications,Wireless services,Billing,Reoccurring charges,Incorrect Charge,Consumer,Kingston,Ontario,
CI-0030544,Bell Canada,Wireless services,Billing,Reoccurring charges,Incorrect Charge,Consumer,Thetford Mines,Quebec,
CI-0022288,Fido,Wireless services,Credit Management,3rd party credit reporting,,Consumer,Port McNicoll,Ontario,
CI-0077119,Bell Canada,Internet Access Services,Contract Dispute,Compliance with Terms of Service/Contract,Breach of contract,Consumer,Trent Lakes,Ontario,
CI-0017590,Bell Aliant,Wireless services,Billing,Reoccurring charges,Incorrect Charge,Consumer,Kingsley,New Brunswick,
CI-0029591,Bell Canada,Local exchange and VoIP services (including calling features),Service Delivery,Service not working,Complete loss of service,Consumer,Etobicoke,Ontario,
CI-0022877,Bell Canada,Wireless services,Billing,Reoccurring charges,Credit/refund not received,Consumer,North York,Ontario,
CI-0034852,Shaw,Internet Access Services,Contract Dispute,Compliance with Terms of Service/Contract,Changes to the contract,Consumer,Canal Flats,British Columbia,
CI-0077532-PF,Bell Canada,Wireless services,Billing,Reoccurring charges,Incorrect Charge,Small Business,Lac megantic,Quebec,
CI-0022005,Lycatalk,Wireless services,Service Delivery,Service Not Working,Intermittent Service,Consumer,Toronto,Ontario,
CI-0010533,Freedom Mobile Inc.,Wireless services,Credit Management,3rd party credit reporting,,Consumer,Hagersville,Ontario,
CI-0019045,Rogers Communications,Internet Access Services,Service Delivery,Service not working,Intermittent service,Consumer,Markham,Ontario,
CI-0003418,Bell Canada,Wireless services,Service Delivery,Service Not Working,Complete Loss of Service,Consumer,Neguac,New Brunswick,
CI-0005913,Rogers Communications,Wireless services,Contract Dispute,Disclosure Issues,No Consent/Contract conflicts with agreement,Consumer,toronto,Ontario,
CI-0001019,TELUS Communications Inc.,Internet Access Services,Contract Dispute,Disclosure Issues,No Consent/Contract conflicts with agreement,Consumer,Banff,Alberta,
CI-0001019,TELUS Communications Inc.,Local exchange and VoIP services (including calling features),Contract Dispute,Disclosure Issues,No Consent/Contract conflicts with agreement,Consumer,Banff,Alberta,
CI-0037922,Bell Canada,Internet Access Services,Contract Dispute,Compliance with Terms of Service/Contract,Changes to the contract,Consumer,North York,Ontario,
CI-0035178,Link Telecom,Wireless services,Service Delivery,Service Not Working,Complete Loss of Service,Consumer,Markham ,Ontario,
CI-0035178,Link Telecom,Wireless services,Service Delivery,Service Not Working,Repair Issues and Appointments,Consumer,Markham ,Ontario,
CI-0057535,Bell Canada,Wireless services,Billing,Reoccurring charges,Incorrect Charge,Consumer,Montreal,Quebec,
CI-0057535,Bell Canada,Wireless services,Contract Dispute,Compliance with Terms of Service/Contract,Breach of contract,Consumer,Montreal,Quebec,
CI-0046993,Public Mobile,Wireless services,Billing,Reoccurring charges,Credit/refund not received,Consumer,New Hamburg ,Ontario,
CI-0065874,Bell Canada,TV,Billing,Reoccurring charges,Incorrect Charge,Small Business,bell canada,Quebec,
CI-0001028,Public Mobile,Wireless services,Contract Dispute,Compliance with Terms of Service/Contract,Changes to the contract,Consumer,Toronto,Ontario,
CI-0038670,Public Mobile,Wireless services,Contract Dispute,Compliance with Terms of Service/Contract,Changes to the contract,Consumer,Sudbury,Ontario,
CI-0032774,Shaw,TV,Billing,Reoccurring charges,Regular price increase of monthly price plans,Consumer,Aweres township ,Ontario,
CI-0021343-PT,Rogers Communications,Wireless services,Billing,Reoccurring charges,Incorrect Charge,Consumer,Longueuil,Quebec,
CI-0022341,Bell Canada,Wireless services,Contract Dispute,Disclosure Issues,No Consent/Contract conflicts with agreement,Consumer,Calgary ,Alberta,
CI-0094949,Shaw,Internet Access Services,Service Delivery,Service not working,Repair issues and appointments,Consumer,Stony Plain,Alberta,
CI-0004613,Shaw,TV,Contract Dispute,Compliance with Terms of Service/Contract,Breach of contract,Consumer,Edmonton,Alberta,
CI-0042846,Virgin Plus,Wireless services,Contract Dispute,Compliance with Terms of Service/Contract,Breach of contract,Consumer,Lourde-de-joliette,Quebec,
CI-0026549,Rogers Communications,Wireless services,Contract Dispute,Compliance with Terms of Service/Contract,Breach of contract,Consumer,North york,Ontario,
CI-0026444-PT,Shaw,Local exchange and VoIP services (including calling features),Service Delivery,Service not working,Intermittent service,Consumer,Vancouver,British Columbia,
CI-0026444-PT,Shaw,Local exchange and VoIP services (including calling features),Credit Management,3rd party credit reporting,,Consumer,Vancouver,British Columbia,
CI-0075162-PT,Convergia Networks Inc.,Local exchange and VoIP services (including calling features),Billing,Reoccurring charges,Incorrect Charge,Small Business,MISSISSAUGA,Ontario,
CI-0022652,Bell Canada,Internet Access Services,Billing,Reoccurring charges,Regular price increase of monthly price plans,Consumer,Gatineau,Quebec,
CI-0027905,Rogers Communications,Wireless services,Contract Dispute,Disclosure Issues,No Consent/Contract conflicts with agreement,Consumer,Delta,British Columbia,
CI-0027905,Rogers Communications,Wireless services,Contract Dispute,Compliance with Terms of Service/Contract,Changes to the contract,Consumer,Delta,British Columbia,
CI-0056344,Eastlink,Internet Access Services,Contract Dispute,Compliance with Terms of Service/Contract,Breach of contract,Consumer,Charlottetown. PEI,Prince Edward Island,
CI-0070158,Rogers Communications,Internet Access Services,Contract Dispute,Disclosure Issues,No Consent/Contract conflicts with agreement,Consumer,Ottawa,Ontario,
CI-0062251,Fido,Wireless services,Contract Dispute,Compliance with Terms of Service/Contract,Breach of contract,Consumer,Montreal,Quebec,
CI-0066681,Bell Canada,Internet Access Services,Billing,Reoccurring charges,Regular price increase of monthly price plans,Small Business,toronto,Ontario,
CI-0074932,Rogers Communications,Wireless services,Contract Dispute,Compliance with Terms of Service/Contract,Changes to the contract,Consumer,Coquitlam,British Columbia,
CI-0067643,TELUS Communications Inc.,Internet Access Services,Contract Dispute,Compliance with Terms of Service/Contract,Changes to the contract,Consumer,Surrey BC,British Columbia,
CI-0096093,Shaw,TV,Billing,Reoccurring charges,Regular price increase of monthly price plans,Consumer,Winnipeg,Manitoba,
CI-0076207-PT,TekSavvy Solutions Inc.,Internet Access Services,Service Delivery,Service not working,Complete loss of service,Consumer,Calgary ,Alberta,
CI-0006804,Shaw,Internet Access Services,Billing,Reoccurring charges,Incorrect Charge,Consumer,Chestermere AB T1X 1G9,Alberta,
CI-0013646,Bell Canada,Wireless services,Service Delivery,Service Not Working,Intermittent Service,Consumer,Bowmanville ,Ontario,
CI-0096697,Rogers Communications,Internet Access Services,Billing,Reoccurring charges,Incorrect Charge,Consumer,Edmonton,Alberta,
CI-0012115,TELUS Communications Inc.,Internet Access Services,Billing,Reoccurring charges,Incorrect Charge,Small Business,2557 Labieux Road ,British Columbia,
CI-0046619,Rogers Communications,Wireless services,Contract Dispute,Compliance with Terms of Service/Contract,Changes to the contract,Small Business,Toronto,Ontario,
CI-0048131,Rogers Communications,Wireless services,Service Delivery,Service Not Working,Intermittent Service,Consumer,Scarborough ,Ontario,
CI-0006798,Public Mobile,Wireless services,Billing,Reoccurring charges,Credit/refund not received,Consumer,Etobicoke,Ontario,
CI-0049189,Koodo,Internet Access Services,Contract Dispute,Disclosure Issues,No Consent/Contract conflicts with agreement,Consumer,Princeville,Quebec,
CI-0004308,TELUS Communications Inc.,Wireless services,Contract Dispute,Disclosure Issues,No Consent/Contract conflicts with agreement,Small Business,Scarborough,Ontario,
CI-0004963,Bell Canada,Internet Access Services,Service Delivery,Service not working,Complete loss of service,Consumer,Toronto,Ontario,
